person1_ts,person2_ts
0.0021778,0.10627
0.0021778,0.10627
0.0021778,0.10627
0.074423,0.14039
0.074423,0.14039
0.11299,0.15927
0.11299,0.15927
0.1452,0.16263
0.1452,0.16263
0.16674,0.16237
0.16674,0.16237
0.1716,0.15764
0.1716,0.15764
0.17055,0.14351
0.17055,0.14351
0.17055,0.14351
0.165,0.098256
0.165,0.098256
0.15782,0.071017
0.15782,0.071017
0.15782,0.071017
0.1326,0.01984
0.1326,0.01984
0.10925,-0.016274
0.10925,-0.016274
0.094018,-0.034343
0.07595,-0.053538
0.038424,-0.089354
0.038424,-0.089354
-0.011039,-0.1239
-0.036981,-0.13784
-0.065129,-0.14919
-0.090403,-0.1592
-0.090403,-0.1592
-0.13336,-0.169
-0.13336,-0.169
-0.17165,-0.16688
-0.17165,-0.16688
-0.17165,-0.16688
-0.20281,-0.16265
-0.20281,-0.16265
-0.20281,-0.16265
-0.20387,-0.15404
-0.20387,-0.15404
-0.20387,-0.15404
-0.19849,-0.12934
-0.19849,-0.12934
-0.19266,-0.10188
-0.19266,-0.10188
-0.19266,-0.10188
-0.16222,-0.046929
-0.16222,-0.046929
-0.16222,-0.046929
-0.10731,0.016512
-0.10731,0.016512
-0.059228,0.055694
-0.059228,0.055694
-0.059228,0.055694
0.021143,0.1113
0.021143,0.1113
0.06972,0.1455
0.06972,0.1455
0.06972,0.1455
0.12786,0.17886
0.12786,0.17886
0.15371,0.18475
0.15371,0.18475
0.1711,0.18334
0.1711,0.18334
0.17176,0.17992
0.17104,0.1757
0.17104,0.1757
0.17067,0.15774
0.17067,0.15774
0.16658,0.12572
0.16658,0.12572
0.16004,0.086579
0.16004,0.086579
0.14546,0.053562
0.14546,0.053562
0.12385,0.01789
0.12385,0.01789
0.11027,4.8513e-4
0.096551,-0.016002
0.096551,-0.016002
0.036666,-0.061554
0.036666,-0.061554
-0.0092874,-0.085877
-0.0092874,-0.085877
-0.03401,-0.098437
-0.0587,-0.10773
-0.10393,-0.12589
-0.10393,-0.12589
-0.14127,-0.13436
-0.14127,-0.13436
-0.17128,-0.13292
-0.17128,-0.13292
-0.17128,-0.13292
-0.19268,-0.12901
-0.19268,-0.12901
-0.19194,-0.12736
-0.19116,-0.12556
-0.18988,-0.11734
-0.18988,-0.11734
-0.18767,-0.11
-0.18497,-0.10125
-0.18497,-0.10125
-0.1779,-0.076088
-0.17132,-0.060192
-0.14786,-0.025026
-0.14786,-0.025026
-0.1316,-0.0072976
-0.11204,0.010781
-0.090615,0.028811
-0.066585,0.045998
-0.039652,0.061978
-0.010883,0.077428
0.016599,0.091871
0.04672,0.1049
0.077281,0.11787
0.10228,0.12862
0.12668,0.13795
0.14533,0.14758
0.14533,0.14758
0.17403,0.15929
0.18697,0.15967
0.18697,0.15967
0.20011,0.15903
0.20018,0.15852
0.19958,0.15526
0.19914,0.15006
0.19777,0.14217
0.19613,0.13021
0.19381,0.11338
0.19123,0.10018
0.18642,0.088308
0.17977,0.076865
0.1717,0.061757
0.16278,0.046119
0.15366,0.029202
0.15366,0.029202
0.12948,-0.0087714
0.11496,-0.027028
0.11496,-0.027028
0.078465,-0.065022
0.053146,-0.081935
0.026744,-0.099847
-0.0022812,-0.11642
-0.033833,-0.1308
-0.068563,-0.14168
-0.10444,-0.15144
-0.13426,-0.15819
-0.13426,-0.15819
-0.19729,-0.15813
-0.2248,-0.15804
-0.25008,-0.15731
-0.26846,-0.15604
-0.27908,-0.15438
-0.28635,-0.1527
-0.28636,-0.15056
-0.28702,-0.14857
-0.28702,-0.14857
-0.28623,-0.13726
-0.28623,-0.13726
-0.28265,-0.11865
-0.28265,-0.11865
-0.26927,-0.091883
-0.25755,-0.075165
-0.25755,-0.075165
-0.2244,-0.039973
-0.20308,-0.020934
-0.20308,-0.020934
-0.15034,0.017271
-0.1217,0.034245
-0.089513,0.05149
-0.057109,0.06747
-0.022475,0.083215
0.0076547,0.098058
0.03618,0.11143
0.066221,0.12429
0.092992,0.13683
0.092992,0.13683
0.1349,0.1625
0.1349,0.1625
0.16605,0.17045
0.16605,0.17045
0.18943,0.16944
0.18943,0.16944
0.20101,0.16759
0.20101,0.16759
0.2005,0.15921
0.19947,0.15299
0.19813,0.14381
0.19434,0.13161
0.19434,0.13161
0.18035,0.098325
0.16949,0.084654
0.16949,0.084654
0.13765,0.057626
0.11786,0.043369
0.11786,0.043369
0.070966,0.012916
0.040318,-7.9857e-4
0.011625,-0.015985
-0.01875,-0.030737
-0.01875,-0.030737
-0.081591,-0.058861
-0.081591,-0.058861
-0.13902,-0.08256
-0.13902,-0.08256
-0.18764,-0.10444
-0.18764,-0.10444
-0.22901,-0.1206
-0.24174,-0.12792
-0.24959,-0.13061
-0.25238,-0.13139
-0.25238,-0.13139
-0.25119,-0.12863
-0.25119,-0.12863
-0.24653,-0.12652
-0.24653,-0.12652
-0.22798,-0.12339
-0.22798,-0.12339
-0.19451,-0.12013
-0.17274,-0.1147
-0.17274,-0.1147
-0.11962,-0.1007
-0.11962,-0.1007
-0.050811,-0.079882
-0.050811,-0.079882
0.015783,-0.053545
0.015783,-0.053545
0.08784,-0.023442
0.11686,-0.0068595
0.11686,-0.0068595
0.16223,0.02531
0.16223,0.02531
0.19591,0.056139
0.19591,0.056139
0.21725,0.084578
0.22257,0.09852
0.22526,0.11159
0.22361,0.12533
0.22328,0.13908
0.22015,0.15253
0.21494,0.16046
0.20583,0.16282
0.20583,0.16282
0.17942,0.16711
0.17942,0.16711
0.14014,0.16392
0.11289,0.15868
0.11289,0.15868
0.055577,0.13901
0.055577,0.13901
-0.011707,0.10353
-0.011707,0.10353
-0.07853,0.077016
-0.07853,0.077016
-0.13762,0.047093
-0.13762,0.047093
-0.18375,0.014762
-0.18375,0.014762
-0.21745,-0.016298
-0.21745,-0.016298
-0.21745,-0.016298
-0.2369,-0.059353
-0.2369,-0.059353
-0.23443,-0.084572
-0.23443,-0.084572
-0.22854,-0.1082
-0.21969,-0.12028
-0.21969,-0.12028
-0.19009,-0.13401
-0.19009,-0.13401
-0.19009,-0.13401
-0.11887,-0.1375
-0.11887,-0.1375
-0.11887,-0.1375
-0.021932,-0.1329
-0.021932,-0.1329
0.049384,-0.12653
0.049384,-0.12653
0.049384,-0.12653
0.14611,-0.10154
0.14611,-0.10154
0.19154,-0.074915
0.19154,-0.074915
0.20787,-0.05816
0.22239,-0.040267
0.23932,-0.0020578
0.23932,-0.0020578
0.23932,-0.0020578
0.24346,0.060312
0.24346,0.060312
0.24023,0.099341
0.24023,0.099341
0.23473,0.11526
0.22737,0.12989
0.21703,0.14448
0.20435,0.16088
0.20435,0.16088
0.14359,0.16262
0.14359,0.16262
0.14359,0.16262
0.045066,0.1521
0.045066,0.1521
-0.029208,0.14634
-0.029208,0.14634
-0.065455,0.14368
-0.10519,0.13866
-0.13945,0.13269
-0.17029,0.12557
-0.22395,0.098226
-0.22395,0.098226
-0.25802,0.077729
-0.25802,0.077729
-0.26673,0.065052
-0.26845,0.053722
-0.26845,0.053722
-0.26644,0.026005
-0.26165,0.011806
-0.25295,-0.0017872
-0.23955,-0.016432
-0.22032,-0.032019
-0.198,-0.047451
-0.198,-0.047451
-0.13905,-0.075617
-0.10283,-0.086832
-0.064927,-0.10019
-0.025498,-0.11041
0.015624,-0.12095
0.059238,-0.12893
0.10087,-0.13504
0.13934,-0.13674
0.17118,-0.1371
0.19921,-0.13505
0.22218,-0.13391
0.23946,-0.13286
0.25161,-0.1315
0.26029,-0.13028
0.26641,-0.12922
0.26641,-0.12922
0.26586,-0.12746
0.26586,-0.12746
0.26051,-0.12136
0.253,-0.11594
0.253,-0.11594
0.22677,-0.098579
0.20905,-0.086285
0.20905,-0.086285
0.15984,-0.058152
0.12831,-0.041799
0.12831,-0.041799
0.055109,-0.004732
0.055109,-0.004732
-0.028035,0.030182
-0.028035,0.030182
-0.067675,0.047258
-0.10826,0.063883
-0.17503,0.096581
-0.20147,0.11386
-0.22417,0.12895
-0.23992,0.14899
-0.23992,0.14899
-0.25905,0.18115
-0.25905,0.18115
-0.25706,0.20773
-0.25433,0.22009
-0.25433,0.22009
-0.23731,0.2491
-0.22214,0.26371
-0.22214,0.26371
-0.17872,0.29089
-0.15142,0.29843
-0.15142,0.29843
-0.080926,0.31046
-0.0419,0.31324
-0.0011797,0.31414
0.042493,0.31311
0.042493,0.31311
0.13171,0.31295
0.16179,0.31214
0.19403,0.3113
0.21749,0.3095
0.21749,0.3095
0.25037,0.30525
0.25037,0.30525
0.26618000000000003,0.29522
0.26681,0.28748
0.26681,0.28748
0.26278,0.26338
0.25766,0.24698
0.25766,0.24698
0.23585,0.20729
0.23585,0.20729
0.19657,0.15961
0.17298,0.13255
0.17298,0.13255
0.1054,0.080184
0.1054,0.080184
0.027686,0.045347
-0.01591,0.029953
-0.056089,0.016305
-0.097335,0.0036717
-0.097335,0.0036717
-0.16694,-0.018901
-0.16694,-0.018901
-0.21559,-0.043471
-0.23411,-0.053217
-0.23411,-0.053217
-0.25636,-0.074617
-0.25796,-0.083703
-0.25796,-0.083703
-0.25549,-0.10655
-0.25324,-0.1178
-0.24691,-0.13096
-0.23732,-0.14114
-0.22317,-0.15258
-0.20538,-0.16303
-0.20538,-0.16303
-0.16071,-0.1822
-0.13255,-0.18915
-0.13255,-0.18915
-0.065477,-0.19997
-0.031513,-0.20303
0.0052628,-0.20441
0.044853,-0.20448
0.044853,-0.20448
0.12525,-0.20158
0.15837,-0.2001
0.18904,-0.19835
0.21462,-0.19602
0.21462,-0.19602
0.24993,-0.18344
0.24993,-0.18344
0.26822,-0.1625
0.26822,-0.1625
0.26822,-0.1625
0.26834,-0.11406
0.26834,-0.11406
0.25651,-0.072637
0.25651,-0.072637
0.24429,-0.049966000000000003
0.20462,-0.0066308
0.20462,-0.0066308
0.14551,0.039502
0.14551,0.039502
0.066311,0.081602
0.020011,0.10216
-0.025468,0.12132
-0.069104,0.13981
-0.069104,0.13981
-0.15197,0.18395
-0.15197,0.18395
-0.15197,0.18395
-0.24123,0.22738
-0.24123,0.22738
-0.27358,0.25416
-0.28083,0.26663
-0.28083,0.26663
-0.27813,0.28391
-0.27813,0.28391
-0.27813,0.28391
-0.26064,0.29885
-0.26064,0.29885
-0.22584,0.29907
-0.22584,0.29907
-0.17675,0.299
-0.17675,0.299
-0.17675,0.299
-0.064021,0.29724
-0.064021,0.29724
0.02509,0.29573
0.073665,0.29446
0.073665,0.29446
0.15202,0.29028
0.15202,0.29028
0.20743,0.27585
0.20743,0.27585
0.24044,0.24935
0.24044,0.24935
0.25107,0.21094
0.25107,0.21094
0.24773,0.16309
0.24773,0.16309
0.23526,0.098403
0.23526,0.098403
0.23526,0.098403
0.17989,0.02847
0.17989,0.02847
0.11545,-0.0086593
0.11545,-0.0086593
0.03415,-0.041209
0.03415,-0.041209
-0.05488,-0.076347
-0.05488,-0.076347
-0.14179,-0.10812
-0.14179,-0.10812
-0.21272,-0.14142
-0.21272,-0.14142
-0.21272,-0.14142
-0.27176,-0.18651
-0.27176,-0.18651
-0.27176,-0.18651
-0.27392,-0.22046
-0.27392,-0.22046
-0.27392,-0.22046
-0.24183,-0.23505
-0.24183,-0.23505
-0.24183,-0.23505
-0.16974,-0.23176
-0.16974,-0.23176
-0.13747,-0.22971
-0.10038,-0.22769
-0.10038,-0.22769
0.031425,-0.22053
0.031425,-0.22053
0.031425,-0.22053
0.12017,-0.21102
0.15523,-0.2041
0.15523,-0.2041
0.23045,-0.17244
0.23045,-0.17244
0.24549,-0.15895
0.2537,-0.14401
0.25653,-0.11011
0.25653,-0.11011
0.25263,-0.072178
0.25263,-0.072178
0.25263,-0.072178
0.21619,-0.0050191
0.21619,-0.0050191
0.17214,0.041918
0.17214,0.041918
0.14114,0.063925
0.1054,0.083712
0.1054,0.083712
0.024179,0.1251
-0.018015,0.14454
-0.018015,0.14454
-0.1026,0.19648
-0.13856,0.21666
-0.13856,0.21666
-0.19184,0.25349
-0.21247,0.27212
-0.2252,0.28685
-0.23084,0.29999
-0.23034,0.30919
-0.22767,0.31505
-0.22439,0.31692
-0.21613,0.31654
-0.21613,0.31654
-0.18695,0.31675
-0.16705,0.31543
-0.16705,0.31543
-0.11622,0.31141
-0.11622,0.31141
-0.047964,0.30213
-0.013544,0.29289
0.023426,0.28014
0.06393,0.26415
0.10405,0.24498
0.13581,0.22227
0.16607,0.19758
0.19438,0.17077
0.21597,0.13848
0.23494,0.10109
0.24955,0.069079
0.24955,0.069079
0.26391,0.023505
0.26561,0.0018143
0.26389,-0.018859
0.26149,-0.034555
0.25627,-0.050151
0.24709,-0.065331
0.235,-0.079224
0.235,-0.079224
0.19873,-0.11119
0.17348,-0.12585
0.14343,-0.14015
0.10901,-0.15323
0.070788,-0.16559
0.02614,-0.17852
0.02614,-0.17852
-0.067444,-0.2009
-0.10837,-0.20996
-0.10837,-0.20996
-0.1792,-0.22502
-0.1792,-0.22502
-0.21885,-0.23372
-0.2307,-0.23359
-0.23529,-0.23408
-0.23384,-0.23385
-0.23384,-0.23385
-0.22614,-0.23076
-0.22614,-0.23076
-0.20196,-0.22685
-0.20196,-0.22685
-0.1615,-0.22026
-0.1615,-0.22026
-0.10779,-0.20741
-0.075275,-0.19812
-0.075275,-0.19812
-0.0050067,-0.17354
0.033157,-0.15794
0.071,-0.14111
0.10303,-0.12336
0.13502,-0.10368
0.1613,-0.084363
0.18567,-0.063549
0.2045,-0.042985
0.22094,-0.022839
0.23355,-0.0024431
0.24128,0.017743
0.24393,0.037642
0.24213,0.055692
0.24002,0.072687
0.24002,0.072687
0.22701,0.10549
0.22701,0.10549
0.19656,0.13262
0.19656,0.13262
0.1487,0.16358
0.11605,0.18068
0.11605,0.18068
0.039706,0.204
0.039706,0.204
-0.046454,0.22638
-0.046454,0.22638
-0.13088,0.24794
-0.13088,0.24794
-0.19685,0.26753
-0.19685,0.26753
-0.24165,0.27967
-0.24165,0.27967
-0.26088,0.2852
-0.25899,0.2847
-0.25899,0.2847
-0.25276,0.28279
-0.25276,0.28279
-0.22883,0.28058
-0.22883,0.28058
